CountryCode,IndicatorCode,Year,Value
LAO,SE.TER.ENRR,2000,2.657779932
LBN,NY.GDP.MKTP.CD,2000,17260364842.0
LBN,SE.TER.ENRR,2000,28.15299988
LBR,NY.GDP.MKTP.CD,2000,874000000.0
LBR,SE.TER.ENRR,2000,18.04508972
LBY,NY.GDP.MKTP.CD,2000,38270983032.0
LBY,SE.TER.ENRR,2000,53.02122116
LCA,NY.GDP.MKTP.CD,2000,932592592.6
LCA,SE.TER.ENRR,2000,621728402.781703
LCN,NY.GDP.MKTP.CD,2000,310864212.9634061
LCN,SE.TER.ENRR,2000,23.14510918
LDC,NY.GDP.MKTP.CD,2000,13.414024592999999
LDC,SE.TER.ENRR,2000,3.682940006
LIC,NY.GDP.MKTP.CD,2000,4.111905097999999
LIC,SE.TER.ENRR,2000,4.54087019
LIE,NY.GDP.MKTP.CD,2000,2483890594.0
LIE,SE.TER.ENRR,2000,9407352387.0
LKA,NY.GDP.MKTP.CD,2000,16330814180.0
LKA,SE.TER.ENRR,2000,10887209456.891308
LMC,NY.GDP.MKTP.CD,2000,5443604733.782614
LMC,SE.TER.ENRR,2000,10.67391968
LMY,NY.GDP.MKTP.CD,2000,11.802789690000001
LMY,SE.TER.ENRR,2000,12.9316597
LSO,NY.GDP.MKTP.CD,2000,887291645.3
LSO,SE.TER.ENRR,2000,2.063930035
LTE,NY.GDP.MKTP.CD,2000,9.050269842499999
LTE,SE.TER.ENRR,2000,16.03660965
LTU,NY.GDP.MKTP.CD,2000,11524776867.0
LTU,SE.TER.ENRR,2000,50.89682007
LUX,NY.GDP.MKTP.CD,2000,21230182989.0
LUX,SE.TER.ENRR,2000,9.962800026
LVA,NY.GDP.MKTP.CD,2000,7958852839.0
LVA,SE.TER.ENRR,2000,56.24380112
MAC,NY.GDP.MKTP.CD,2000,6774193548.0
MAC,SE.TER.ENRR,2000,26.91960907
MAF,NY.GDP.MKTP.CD,2000,14339151818.27974
MAF,SE.TER.ENRR,2000,28678303609.63987
MAR,NY.GDP.MKTP.CD,2000,43017455401.0
MAR,SE.TER.ENRR,2000,10.03913021
MCO,NY.GDP.MKTP.CD,2000,2654476597.0
MCO,SE.TER.ENRR,2000,1971452994.5
MDA,NY.GDP.MKTP.CD,2000,1288429392.0
MDA,SE.TER.ENRR,2000,32.99705124
MDG,NY.GDP.MKTP.CD,2000,4629247205.0
MDG,SE.TER.ENRR,2000,2.093029976
MDV,NY.GDP.MKTP.CD,2000,624337145.3
MDV,SE.TER.ENRR,2000,416224770.07097673
MEA,NY.GDP.MKTP.CD,2000,208112394.84195352
MEA,SE.TER.ENRR,2000,19.6129303
MEX,NY.GDP.MKTP.CD,2000,20.06945038
MEX,SE.TER.ENRR,2000,20.52597046
MHL,NY.GDP.MKTP.CD,2000,115347500.0
MHL,SE.TER.ENRR,2000,76898337.87722334
MIC,NY.GDP.MKTP.CD,2000,38449175.75444667
MIC,SE.TER.ENRR,2000,13.63167
MKD,NY.GDP.MKTP.CD,2000,3772859053.0
MKD,SE.TER.ENRR,2000,23.30654907
MLI,NY.GDP.MKTP.CD,2000,2961484954.0
MLI,SE.TER.ENRR,2000,1.834040046
MLT,NY.GDP.MKTP.CD,2000,4323339212.0
MLT,SE.TER.ENRR,2000,21.90958977
MMR,NY.GDP.MKTP.CD,2000,6849321646.0
MMR,SE.TER.ENRR,2000,4566214437.146133
MNA,NY.GDP.MKTP.CD,2000,2283107228.292267
MNA,SE.TER.ENRR,2000,19.43840027
MNE,NY.GDP.MKTP.CD,2000,984292969.9
MNE,SE.TER.ENRR,2000,15.89976025
MNG,NY.GDP.MKTP.CD,2000,1136896124.0
MNG,SE.TER.ENRR,2000,29.18816948
MNP,NY.GDP.MKTP.CD,2000,1885491236.792113
MNP,SE.TER.ENRR,2000,3770982444.3960567
MOZ,NY.GDP.MKTP.CD,2000,5656473652.0
MOZ,SE.TER.ENRR,2000,0.646009982
MRT,NY.GDP.MKTP.CD,2000,1779520862.0
