CountryCode,IndicatorCode,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
BOL,NY.GDP.MKTP.CD,8397855937,8141517339,7905485146,8082399991,8773451752,9549122313,11451845379,13120107739,16674276979,17339992194,19649724656,23963162969,27084497482,30659338886,32996188017,33000198249,33941126194,37508642171,40287647931,40895322851,36629843806,40408208524,43068885673
BOL,SE.TER.ENRR,,,,,,,,,,,,,,,,,,,,,,,
BRA,NY.GDP.MKTP.CD,6.55E+11,5.60E+11,5.10E+11,5.58E+11,6.69E+11,8.92E+11,1.11E+12,1.40E+12,1.70E+12,1.67E+12,2.21E+12,2.62E+12,2.47E+12,2.47E+12,2.46E+12,1.80E+12,1.80E+12,2.06E+12,1.92E+12,1.87E+12,1.48E+12,1.65E+12,1.92E+12
BRA,SE.TER.ENRR,,,,,,,,,,,,,43.23085022,44.33937073,47.1568718,48.43404007,48.33333969,50.02674866,51.19168854,52.62406158,54.57279968,56.83061981,
BRB,NY.GDP.MKTP.CD,3059500000,3054500000,3106500000,3209500000,3444500000,3819500000,4217450800,4674007450,4784925100,4465657300,4529928300,4657699450,4610096000,4677248300,4696344350,4724691200,4832811750,4981588900,5097283200,5324250000,4671800000,4843800000,5637914515
BRB,SE.TER.ENRR,41.54360962,40.8927803,,,,,,59.98527145,,74.01435852,68.31182098,65.03822327,,,,,,,,,,,
BRN,NY.GDP.MKTP.CD,6001280944,5601020247,5843367180,6557395816,7872201251,9531417164,11470462365,12247680703,14393437610,10732592999,13707275498,18525128230,19048443089,18094326393,17097801092,12930292949,11400467372,12128182464,13567164445,13469240163,12005795915,14006497000,16681531646
BRN,SE.TER.ENRR,13.08417034,13.97023964,13.07991028,12.83129978,13.33026028,13.18511009,13.06254005,13.33804989,14.04769993,15.31420994,14.62870979,17.10199928,22.14135933,24.01582909,28.84550858,36.97822189,34.42285156,34.91167068,31.53529358,31.39821815,32.69832993,,
BTN,NY.GDP.MKTP.CD,424448931,461479580.2,520846131.7,603999372.4,682577073.5,796938572,874989734.7,1168307575,1227809261,1234015142,1547990907,1777102586,1781280170,1756214304,1907090362,2003596824,2158971718,2450366108,2446867582,2535655609,2325185521,2539551327,
BTN,SE.TER.ENRR,,,,,,4.869860172,5.109819889,5.536469936,6.573830128,6.290709972,6.571410656,7.696099758,7.595845222,10.34023952,,,,14.77133751,14.87888336,15.90780163,16.85028458,17.70614815,17.52903366
BWA,NY.GDP.MKTP.CD,5788329609,5489608300,5438864269,7511582173,8957467707,9918907108,9919158482,10567270656,10730828592,10118459714,12637273429,15110642876,13907464500,14271738367,15470087926,13530749290,15082636723,16105156376,17031943186,16725908662,14960291541,18737066307,20352322157
BWA,SE.TER.ENRR,6.765570164,7.306890011,7.639070034,8.873539925,9.357620239,9.044219971,9.877719879,10.02007961,13.93937969,21.40348053,18.96071053,16.94067001,20.83914948,25.63145065,24.6215992,27.16739082,23.28824997,22.4400692,,22.97429085,24.01279068,22.90464973,
CAF,NY.GDP.MKTP.CD,916777282.7,932648604.4,996068145.6,1142315522,1272360517,1337894380,1461859763,1699811293,1993407887,2067381664,2142591539,2437982707,2510126510,1691544111,1894813390,1695825714,1825018144,2072349974,2220979145,2221301351,2326720902,2516498412,2382618615
CAF,SE.TER.ENRR,1.905940056,,,,1.651679993,,1.085260034,,2.202600002,2.366650105,2.472219944,2.891230106,2.725169897,,,,,,,,,,
CAN,NY.GDP.MKTP.CD,7.45E+11,7.39E+11,7.61E+11,8.96E+11,1.03E+12,1.17E+12,1.32E+12,1.47E+12,1.55E+12,1.37E+12,1.62E+12,1.79E+12,1.83E+12,1.85E+12,1.81E+12,1.56E+12,1.53E+12,1.65E+12,1.73E+12,1.74E+12,1.65E+12,2.00E+12,2.14E+12
CAN,SE.TER.ENRR,58.51911926,,58.41500092,,,,,63.82582855,64.29955292,63.61417007,61.87625885,63.1548996,63.61875916,65.77429962,67.2278595,67.40316772,69.50685883,70.62715912,69.57759857,72.81506348,74.15714264,77.801651,
CEB,NY.GDP.MKTP.CD,4.29E+11,4.69E+11,5.28E+11,6.34E+11,7.63E+11,8.86E+11,1.00E+12,1.27E+12,1.53E+12,1.29E+12,1.32E+12,1.45E+12,1.36E+12,1.42E+12,1.46E+12,1.29E+12,1.32E+12,1.46E+12,1.65E+12,1.67E+12,1.67E+12,1.91E+12,1.95E+12
CEB,SE.TER.ENRR,39.04410934,43.73659897,48.09983826,51.34954071,54.15589905,57.17084885,60.16934967,63.02904892,67.38694,70.25418091,71.13504791,69.37094116,67.07971954,65.56166077,64.14045715,63.30010986,63.48508835,64.01255798,64.4177475,64.55679321,64.92256927,66.00240326,66.09262085
CHE,NY.GDP.MKTP.CD,2.79E+11,2.87E+11,3.09E+11,3.62E+11,4.04E+11,4.18E+11,4.42E+11,4.91E+11,5.67E+11,5.54E+11,5.99E+11,7.16E+11,6.86E+11,7.06E+11,7.27E+11,6.94E+11,6.88E+11,6.95E+11,7.26E+11,7.21E+11,7.40E+11,8.01E+11,8.08E+11
CHE,SE.TER.ENRR,38.11275864,39.22380066,39.960289,43.05054092,44.88051987,45.24652863,46.28477859,47.81555176,49.68888092,50.30345154,52.80406189,53.13528061,54.83562088,56.18124008,58.06505966,60.81856155,61.1939888,62.45972061,64.35339355,66.30934143,68.06764221,71.89392853,
CHI,NY.GDP.MKTP.CD,6439703435,6232906290,6663669065,7332244898,8553643354,8827272727,9676172953,11514605842,,,,,,,,,9511207129,9530244530,10422948632,10381669645,9811538462,11735662220,
CHI,SE.TER.ENRR,,,,,,,,,,,,,,,,,,,,,,,
CHL,NY.GDP.MKTP.CD,78249883996,71517267768,70295232513,76507853876,99079365628,1.22E+11,1.54E+11,1.73E+11,1.80E+11,1.71E+11,2.17E+11,2.51E+11,2.67E+11,2.77E+11,2.59E+11,2.42E+11,2.49E+11,2.76E+11,2.95E+11,2.78E+11,2.54E+11,3.17E+11,3.01E+11
CHL,SE.TER.ENRR,35.43132019,,40.26649857,43.51819992,44.32846069,50.27355957,49.32168961,54.72304916,56.7743988,59.99129105,66.34452057,70.8241806,75.07707214,79.87033844,83.66297913,86.41811371,88.84588623,89.92198944,91.19747925,92.06597137,89.11248779,96.22279358,
CHN,NY.GDP.MKTP.CD,1.21E+12,1.34E+12,1.47E+12,1.66E+12,1.96E+12,2.29E+12,2.75E+12,3.55E+12,4.59E+12,5.10E+12,6.09E+12,7.55E+12,8.53E+12,9.57E+12,1.05E+13,1.11E+13,1.12E+13,1.23E+13,1.39E+13,1.43E+13,1.47E+13,1.78E+13,1.80E+13
CHN,SE.TER.ENRR,7.558499813,9.228859901,11.71570969,14.3912096,16.77984047,18.55514908,20.50988007,21.44643021,21.85469055,23.27021027,25.28606987,26.80752945,29.32504082,32.76203156,43.8821907,47.43537903,49.70835876,51.5827713,54.00762177,57.27544022,62.23677826,67.38761902,71.98155212
CIV,NY.GDP.MKTP.CD,16577533892,16810537038,18054383334,21251754335,23510575669,24036918719,25281413268,28760090924,34078240260,33886813225,34936307964,36693710822,36302302844,42760235496,48843005625,45815005171,48407761032,52512344034,58522477745,59898479821,62982768372,71811075955,70018715017
CIV,SE.TER.ENRR,,,,,,,,8.781419754,8.345809937,8.183469772,7.47382021,3.304759979,,8.12195015,8.368300438,8.899279594,9.092769623,9.470000267,,9.912610054,9.7769804,,
CMR,NY.GDP.MKTP.CD,10566579295,10953485345,12417251342,15970315030,18826214125,19509852219,20910512978,23928250410,27715142006,27932970297,27507501809,30630910513,30155062303,33728621190,36386544716,32210233022,33814337041,36098547059,39973842059,39670976440,40773241212,45338285386,44341646509
CMR,SE.TER.ENRR,4.682300091,4.698130131,5.123419762,5.171199799,5.163410187,5.950940132,6.957220078,7.42952013,8.045260429,9.20979023,11.33071995,12.24822998,13.25590038,15.44633007,16.41353035,16.95646095,12.4593401,12.74726963,14.3037796,,,,
COD,NY.GDP.MKTP.CD,19088046306,7438189100,8728038525,8937567060,10297483481,11964484458,14451901696,16737071816,19788515579,18648372545,21565721036,25839749199,29306235295,32679745036,35909040944,37917706486,37134801549,38019264805,47568210021,51775829869,48716961865,55350968593,58065953573
COD,SE.TER.ENRR,,,,,,,4.300089836,4.282830238,5.360459805,6.351630211,,7.694320202,7.80960989,6.549680233,,,6.07901001,,,,6.666920185,,
